name,data_type,unit,description,ucd
v3k,DataType.real,km/s,Radial velocity (cz) with respect to the CMB radiation,phys.veloc
modz,DataType.real,mag,Cosmological distance modulus (from vvir with &Lambda;CDM),phot.mag.distMod
mod0,DataType.real,mag,Distance modulus from distance measurements,phot.mag.distMod
mabs,DataType.real,mag,Absolute B-band magnitude,phys.magAbs;em.opt.B
numtype,DataType.smallint,,Object Type,
hptr,DataType.bit,,,
agnclass,DataType.character_varying,,Activity class of AGN,src.class
f_astrom,DataType.smallint,,Precision flag on astrometry,meta.code.qual
e_mod0,DataType.real,mag,Actual error on mod0 (Distance modulus from distance measurements),phot.mag.distMod
e_modz,DataType.real,mag,Actual error on modz (Cosmological distance modulus from vvir with &Lambda;CDM),phot.mag.distMod
e_mabs,DataType.real,,,
modbest,DataType.real,mag,"Best distance modulus, combining mod0 and modz",phot.mag.distMod
e_modbest,DataType.real,mag,"Actual error on modbest (Best distance modulus, combining mod0 and modz)",phot.mag.distMod
kt,DataType.real,mag,Total K-magnitude,phot.mag;em.IR.K;meta.main;stat.mean
e_kt,DataType.real,mag,Actual error on kt (Total K-magnitude),phot.mag;em.IR.K;stat.error
e_ut,DataType.real,mag,Actual error on ut (Total U-magnitude),phot.mag;em.opt.U;stat.error
e_vt,DataType.real,mag,Actual error on vt (Total V-magnitude),phot.mag;em.opt.V;stat.error
